9	1
14	1
16	1
17	1
19	1
23	1
25	1
34	1
40	1
46	1
53	1
54	1
56	1
58	1
60	1
61	1
63	1
65	1
70	1
71	1
75	1
88	1
89	1
92	1
5	2
7	2
9	2
10	2
12	2
19	2
33	2
34	2
37	2
41	2
49	2
51	2
56	2
63	2
67	2
69	2
71	2
85	2
95	2
97	2
1	3
2	3
5	3
13	3
14	3
17	3
19	3
22	3
23	3
31	3
34	3
37	3
42	3
70	3
77	3
81	3
85	3
88	3
90	3
93	3
97	3
100	3
1	4
2	4
6	4
8	4
10	4
16	4
25	4
37	4
41	4
45	4
46	4
47	4
58	4
69	4
72	4
76	4
85	4
90	4
91	4
11	5
16	5
17	5
24	5
27	5
28	5
30	5
36	5
37	5
40	5
46	5
48	5
51	5
53	5
55	5
62	5
69	5
70	5
73	5
84	5
95	5
11	6
16	6
19	6
25	6
35	6
44	6
47	6
48	6
53	6
57	6
69	6
82	6
86	6
87	6
88	6
91	6
96	6
100	6
3	7
4	7
5	7
8	7
12	7
17	7
18	7
23	7
27	7
32	7
33	7
35	7
40	7
42	7
48	7
51	7
54	7
60	7
71	7
75	7
80	7
86	7
91	7
94	7
96	7
100	7
1	8
11	8
17	8
22	8
28	8
32	8
35	8
38	8
41	8
42	8
47	8
50	8
52	8
56	8
57	8
60	8
62	8
67	8
72	8
73	8
76	8
77	8
82	8
90	8
97	8
98	8
3	9
7	9
12	9
14	9
19	9
24	9
32	9
43	9
52	9
54	9
62	9
70	9
75	9
76	9
80	9
81	9
91	9
94	9
95	9
100	9
1	10
6	10
26	10
32	10
33	10
36	10
42	10
46	10
51	10
52	10
54	10
55	10
61	10
66	10
72	10
74	10
78	10
87	10
89	10
91	10
95	10
99	10
18	11
21	11
26	11
28	11
38	11
42	11
60	11
62	11
63	11
67	11
73	11
83	11
89	11
97	11
98	11
4	12
5	12
6	12
14	12
15	12
25	12
28	12
35	12
42	12
44	12
46	12
51	12
59	12
61	12
67	12
69	12
70	12
76	12
80	12
85	12
87	12
90	12
4	13
8	13
16	13
26	13
34	13
35	13
40	13
56	13
70	13
80	13
88	13
90	13
93	13
5	14
8	14
15	14
20	14
26	14
30	14
33	14
34	14
44	14
46	14
58	14
60	14
66	14
67	14
74	14
79	14
82	14
84	14
89	14
91	14
93	14
5	15
8	15
9	15
10	15
11	15
13	15
21	15
24	15
26	15
33	15
35	15
41	15
48	15
58	15
62	15
65	15
76	15
78	15
87	15
97	15
99	15
14	16
15	16
17	16
22	16
25	16
45	16
46	16
51	16
53	16
69	16
72	16
81	16
85	16
86	16
91	16
93	16
96	16
100	16
21	17
22	17
27	17
34	17
40	17
41	17
47	17
51	17
57	17
67	17
77	17
78	17
80	17
85	17
86	17
90	17
98	17
2	18
3	18
14	18
20	18
21	18
30	18
45	18
50	18
52	18
57	18
58	18
59	18
68	18
75	18
83	18
93	18
97	18
100	18
12	19
21	19
25	19
29	19
38	19
50	19
68	19
76	19
82	19
83	19
97	19
99	19
16	20
19	20
24	20
25	20
26	20
27	20
36	20
54	20
55	20
60	20
64	20
67	20
68	20
86	20
1	21
3	21
4	21
9	21
10	21
13	21
24	21
40	21
44	21
56	21
57	21
61	21
62	21
72	21
86	21
4	22
9	22
11	22
12	22
19	22
25	22
30	22
34	22
38	22
39	22
42	22
43	22
44	22
53	22
62	22
64	22
69	22
72	22
81	22
82	22
85	22
87	22
89	22
90	22
96	22
98	22
99	22
100	22
4	23
17	23
21	23
25	23
31	23
33	23
35	23
43	23
57	23
59	23
63	23
82	23
94	23
96	23
2	24
4	24
11	24
13	24
36	24
37	24
40	24
49	24
52	24
62	24
66	24
72	24
74	24
80	24
81	24
84	24
89	24
91	24
95	24
97	24
5	25
31	25
32	25
35	25
40	25
41	25
42	25
53	25
59	25
62	25
66	25
68	25
76	25
77	25
80	25
83	25
92	25
4	26
5	26
6	26
16	26
19	26
24	26
41	26
48	26
51	26
54	26
55	26
56	26
60	26
66	26
69	26
74	26
80	26
82	26
86	26
99	26
3	27
11	27
13	27
43	27
50	27
51	27
56	27
58	27
59	27
60	27
65	27
70	27
71	27
74	27
81	27
100	27
3	28
7	28
15	28
17	28
21	28
26	28
37	28
45	28
48	28
56	28
71	28
74	28
79	28
80	28
82	28
97	28
98	28
99	28
7	29
22	29
27	29
28	29
37	29
40	29
47	29
53	29
55	29
56	29
57	29
59	29
64	29
71	29
78	29
90	29
92	29
93	29
94	29
7	30
12	30
15	30
31	30
32	30
36	30
38	30
51	30
58	30
65	30
70	30
77	30
80	30
82	30
83	30
84	30
85	30
92	30
99	30
2	31
6	31
9	31
11	31
14	31
19	31
20	31
32	31
35	31
40	31
53	31
56	31
58	31
60	31
63	31
66	31
72	31
94	31
98	31
1	32
2	32
3	32
11	32
15	32
37	32
40	32
41	32
47	32
48	32
65	32
68	32
76	32
81	32
82	32
84	32
87	32
